time,side,spread_pts,ema1,ema2,c1,c2,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
2025.12.11 23:15,BUY,4,4273.046019918874,4272.838232541913,4275.02,4272.71,231.00000000004002,-132.99999999999272,80.00000000001819,-298.0000000000473,210.00000000003638,230.99999999994907,-147.99999999995634,52.999999999974534,32.999999999992724,385.0000000000364
2025.12.12 02:15,BUY,4,4277.118245732386,4277.069640020005,4277.58,4276.39,118.99999999995998,207.99999999999272,-46.999999999934516,-168.0000000000291,-114.00000000003274,249.00000000006912,-56.00000000004002,-9.000000000014552,-159.99999999994543,-270.00000000007276
2025.12.12 03:10,BUY,4,4274.308107316437,4274.293171244482,4274.45,4269.36,509.00000000001455,227.99999999997453,-235.99999999996726,-140.00000000005457,-457.9999999999927,-6.999999999970896,28.999999999996362,-140.00000000005457,-188.9999999999418,-92.00000000000728
2025.12.12 03:45,BUY,4,4271.533635301354,4271.501386385707,4271.84,4268.91,293.0000000000291,163.0000000000109,26.999999999952706,102.00000000004366,-285.0000000000364,-230.99999999994907,-330.0000000000182,509.00000000001455,227.99999999997453,-235.99999999996726
2025.12.12 04:05,BUY,4,4271.529666579809,4271.178052535578,4274.87,4270.63,423.9999999999782,-43.000000000029104,246.00000000000364,-323.9999999999782,293.0000000000291,163.0000000000109,26.999999999952706,102.00000000004366,-285.0000000000364,-230.99999999994907
2025.12.12 05:05,BUY,4,4272.5570365707645,4272.495671999266,4273.14,4271.44,170.00000000007276,90.99999999998545,-97.00000000002547,26.000000000021828,-321.00000000000364,-67.00000000000728,-21.000000000003638,159.00000000001455,-40.99999999998545,-95.00000000007276
2025.12.12 05:35,BUY,4,4271.767444810764,4271.746123211897,4271.97,4269.72,225.0,-28.999999999996362,-60.99999999996726,122.99999999995634,-400.0,25.0,170.00000000007276,90.99999999998545,-97.00000000002547,26.000000000021828
2025.12.12 07:10,BUY,4,4268.845550953018,4268.804030000704,4269.24,4268.03,121.00000000000364,65.99999999998545,97.99999999995634,-215.99999999998545,46.00000000000364,77.99999999997453,-39.99999999996362,127.00000000004366,-203.99999999999636,35.99999999996726
2025.12.12 14:25,BUY,4,4332.079965756782,4332.027330573285,4332.58,4331.6,97.99999999995634,-246.99999999993452,106.9999999999709,-268.99999999996,-232.00000000006185,153.00000000006548,29.99999999992724,-92.99999999993815,252.99999999997453,250.0
2025.12.12 15:00,BUY,4,4330.1585049742625,4329.919400234711,4332.43,4325.89,653.9999999999964,22.000000000025466,68.0000000000291,-342.0000000000073,-198.99999999997817,4.99999999992724,-222.99999999995634,97.99999999995634,-246.99999999993452,106.9999999999709
2025.12.12 16:35,BUY,4,4338.301402391625,4337.888918432848,4342.22,4334.76,746.0000000000036,-601.0000000000218,110.00000000003638,-32.999999999992724,-222.99999999995634,8.999999999923602,-121.99999999993452,229.99999999992724,339.00000000003274,248.99999999997817
2025.12.12 19:20,BUY,4,4287.0014635849175,4286.739512383329,4289.49,4283.23,626.0000000000218,941.9999999999163,46.00000000000364,-348.9999999999782,-527.9999999999745,892.0000000000073,-527.0000000000437,447.00000000002547,764.0000000000327,-1330.0000000000182
2025.12.12 19:30,BUY,4,4286.546549555907,4286.545133719687,4286.56,4282.21,435.0000000000364,-727.9999999999745,626.0000000000218,941.9999999999163,46.00000000000364,-348.9999999999782,-527.9999999999745,892.0000000000073,-527.0000000000437,447.00000000002547
2025.12.12 20:50,BUY,4,4294.163844311609,4294.020038449673,4295.53,4291.75,377.99999999997453,-34.00000000001455,-675.0,-25.0,361.9999999999891,-192.99999999993815,-470.00000000007276,118.0000000000291,352.99999999997453,148.0000000000473
2025.12.12 21:10,BUY,4,4293.825376846752,4293.7648901990415,4294.4,4290.71,368.99999999996,-193.0000000000291,-230.99999999994907,-57.999999999992724,377.99999999997453,-34.00000000001455,-675.0,-25.0,361.9999999999891,-192.99999999993815
2025.12.12 22:40,BUY,4,4296.737376913768,4296.507627115217,4298.92,4295.65,327.00000000004366,212.99999999991996,7.000000000061846,-609.0000000000146,15.999999999985448,-48.99999999997817,-275.0,330.0000000000182,277.99999999997453,-40.99999999998545
2025.12.15 01:00,BUY,33,4300.111371885638,4300.095726820969,4300.26,4299.37,89.00000000003274,-97.00000000002547,-185.99999999996726,97.00000000002547,-272.00000000002547,155.99999999994907,-47.999999999956344,-5.00000000001819,294.00000000005093,29.99999999992724
2025.12.15 02:10,BUY,6,4302.216066040815,4302.003020360901,4304.24,4300.49,375.0,-397.00000000002547,-25.0,-298.9999999999782,102.99999999997453,364.00000000003274,276.9999999999527,89.00000000003274,-97.00000000002547,-185.99999999996726
2025.12.15 02:30,BUY,4,4302.262257199958,4302.214073747323,4302.72,4302.01,71.00000000000364,0.0,-65.99999999998545,-156.9999999999709,375.0,-397.00000000002547,-25.0,-298.9999999999782,102.99999999997453,364.00000000003274
2025.12.15 05:20,BUY,4,4323.12515335495,4323.099380023892,4323.37,4320.8,256.9999999999709,-242.00000000000728,-403.99999999999636,-217.99999999993815,321.9999999999345,93.0000000000291,-188.0000000000109,-176.00000000002183,81.00000000004002,97.99999999995634
2025.12.15 06:40,BUY,4,4326.252334342974,4326.222053747497,4326.54,4325.04,150.0,43.99999999995998,-309.99999999994543,-125.0,-2.999999999974534,77.99999999997453,-109.00000000001455,243.0000000000291,-39.00000000003274,81.9999999999709
2025.12.15 07:00,BUY,4,4326.247998847758,4326.204630305417,4326.66,4326.02,63.99999999994179,18.000000000029104,-53.99999999999636,-15.999999999985448,150.0,43.99999999995998,-309.99999999994543,-125.0,-2.999999999974534,77.99999999997453
2025.12.15 07:10,BUY,4,4326.251264362904,4326.23771324321,4326.38,4326.14,23.999999999978172,-51.999999999952706,63.99999999994179,18.000000000029104,-53.99999999999636,-15.999999999985448,150.0,43.99999999995998,-309.99999999994543,-125.0
2025.12.15 10:05,BUY,4,4340.834216336755,4340.754660161677,4341.59,4340.72,86.99999999998909,152.00000000004366,-144.00000000005093,-25.99999999993088,117.99999999993815,367.0000000000073,-510.99999999996726,-286.9999999999891,111.99999999998909,-31.999999999970896
2025.12.15 12:15,BUY,4,4344.586299462539,4344.5438046691215,4344.99,4343.41,157.99999999999272,-52.999999999974534,34.99999999994543,89.00000000003274,-25.0,-135.00000000003638,-85.99999999996726,-67.00000000000728,-235.99999999996726,30.99999999994907
2025.12.15 13:45,BUY,4,4341.0044186070045,4340.943831091952,4341.58,4340.8,77.99999999997453,9.000000000014552,-7.999999999992724,-6.000000000040018,53.99999999999636,168.0000000000291,10.999999999967258,135.00000000003638,-127.99999999997453,-123.0000000000473
2025.12.15 15:45,BUY,4,4341.222538724951,4340.943858590735,4343.87,4338.28,559.0000000000146,-263.0000000000109,280.0000000000182,-145.00000000007276,146.00000000000364,-165.99999999998545,406.00000000004,-128.99999999999636,-357.00000000006185,-515.9999999999854
2025.12.15 17:45,BUY,4,4324.384325266922,4324.23109634765,4325.84,4323.27,256.9999999999709,405.0000000000182,-319.9999999999818,810.9999999999673,-457.9999999999927,361.9999999999891,-735.9999999999673,-39.00000000003274,478.0000000000655,-560.0000000000364
2025.12.15 19:25,BUY,4,4301.882593482043,4301.854445427522,4302.15,4297.03,511.9999999999891,234.00000000001455,-235.00000000003638,259.00000000001455,-128.99999999999636,-189.00000000003274,-76.00000000002183,175.0,6.000000000040018,321.00000000000364
2025.12.15 19:35,BUY,4,4301.93922051478,4301.79282267423,4303.33,4300.94,239.00000000003274,-121.00000000000364,511.9999999999891,234.00000000001455,-235.00000000003638,259.00000000001455,-128.99999999999636,-189.00000000003274,-76.00000000002183,175.0
2025.12.15 20:05,BUY,4,4302.768486095472,4302.694642526574,4303.47,4302.13,134.00000000001455,-223.99999999997817,-21.000000000003638,5.00000000001819,40.99999999998545,78.99999999999636,239.00000000003274,-121.00000000000364,511.9999999999891,234.00000000001455
2025.12.15 20:15,BUY,4,4302.847899048676,4302.767677895904,4303.61,4302.76,84.99999999994543,-71.00000000000364,134.00000000001455,-223.99999999997817,-21.000000000003638,5.00000000001819,40.99999999998545,78.99999999999636,239.00000000003274,-121.00000000000364
2025.12.15 20:25,BUY,4,4303.012044345968,4302.738575329754,4305.61,4301.7,390.99999999998545,-190.99999999998545,84.99999999994543,-71.00000000000364,134.00000000001455,-223.99999999997817,-21.000000000003638,5.00000000001819,40.99999999998545,78.99999999999636
2025.12.15 23:55,BUY,16,4304.668264997787,4304.6207139449225,4305.12,4304.41,71.00000000000364,207.99999999999272,17.000000000007276,-1.0000000000218279,-126.9999999999527,-16.000000000076398,76.00000000002183,-94.99999999998181,-64.99999999996362,223.99999999997817
2025.12.16 02:05,BUY,4,4305.661678443151,4305.427118279272,4307.89,4303.16,473.0000000000473,-111.99999999998909,-180.0000000000182,-110.99999999996726,16.999999999916326,80.00000000001819,-153.99999999999636,159.00000000001455,-260.99999999996726,365.99999999998545
2025.12.16 02:20,BUY,4,4305.872909236754,4305.802689156412,4306.54,4305.47,106.9999999999709,-203.99999999999636,-38.000000000010914,473.0000000000473,-111.99999999998909,-180.0000000000182,-110.99999999996726,16.999999999916326,80.00000000001819,-153.99999999999636
2025.12.16 03:25,BUY,4,4307.240436255762,4306.7952190195265,4311.47,4306.51,496.00000000000364,11.000000000058208,240.99999999998545,-42.000000000007276,135.99999999996726,-501.0000000000218,-137.99999999991996,-17.000000000007276,-223.0000000000473,-31.999999999970896
2025.12.16 04:00,BUY,4,4309.694455624497,4309.5580825323395,4310.99,4308.79,219.9999999999818,-230.0000000000182,-90.99999999998545,-271.00000000000364,7.999999999992724,-72.99999999995634,388.9999999999418,496.00000000000364,11.000000000058208,240.99999999998545
2025.12.16 04:25,BUY,4,4309.923257039276,4309.796231464463,4311.13,4308.63,250.0,-197.99999999995634,-23.000000000047294,65.00000000005457,-80.00000000001819,219.9999999999818,-230.0000000000182,-90.99999999998545,-271.00000000000364,7.999999999992724
2025.12.16 07:05,BUY,4,4290.239087606514,4290.124254722989,4291.33,4288.4,293.0000000000291,-65.00000000005457,96.00000000000364,-138.9999999999418,-13.000000000010914,-94.00000000005093,97.00000000002547,132.99999999999272,-131.9999999999709,207.99999999999272
